x	y	Fixo	Timestamp
38.654821	74.166346	false	2019-02-07 13:02:03.719
38.38365	78.646163	true	2019-02-07 13:02:03.721
39.960769	75.581272	true	2019-02-07 13:02:03.722
39.74906	75.165646	true	2019-02-07 13:02:03.722
38.991519	74.892761	true	2019-02-07 13:02:03.733
37.952642	74.496764	true	2019-02-07 13:02:03.743
37.857121	74.39303	true	2019-02-07 13:02:03.753
36.485513	74.469835	true	2019-02-07 13:02:03.766
36.371319	74.410342	true	2019-02-07 13:02:03.776
36.280706	74.371114	true	2019-02-07 13:02:03.786
35.955376	74.142308	true	2019-02-07 13:02:03.800
35.94508	73.482125	true	2019-02-07 13:02:03.809
36.190153	73.959332	true	2019-02-07 13:02:03.819
37.59527	77.698497	true	2019-02-07 13:02:03.833
36.989994	73.982227	true	2019-02-07 13:02:03.843
41.360637	76.772673	true	2019-02-07 13:02:03.853
49.028451	79.560896	true	2019-02-07 13:02:03.866
48.332945	79.257402	true	2019-02-07 13:02:03.876
263.367407	100.258473	false	2019-02-07 13:02:03.887
368.630917	106.65567	false	2019-02-07 13:02:03.899
389.111415	112.4001	true	2019-02-07 13:02:03.909
397.155792	114.598974	true	2019-02-07 13:02:03.919
406.430337	118.77745	true	2019-02-07 13:02:03.932
409.369406	120.082924	true	2019-02-07 13:02:03.943
421.312194	122.295395	false	2019-02-07 13:02:03.953
421.054442	122.000079	true	2019-02-07 13:02:03.966
432.710638	134.029796	true	2019-02-07 13:02:03.976
434.353707	135.742	true	2019-02-07 13:02:03.986
433.632366	130.220344	true	2019-02-07 13:02:03.999
433.765099	127.341203	true	2019-02-07 13:02:04.009
434.105647	126.050593	true	2019-02-07 13:02:04.020
433.661498	124.800892	true	2019-02-07 13:02:04.032
433.544487	124.45653	true	2019-02-07 13:02:04.043
433.394433	123.724801	true	2019-02-07 13:02:04.053
433.263585	122.976888	true	2019-02-07 13:02:04.066
433.382254	122.871166	true	2019-02-07 13:02:04.077
433.779526	122.649682	true	2019-02-07 13:02:04.087
434.829808	120.716183	true	2019-02-07 13:02:04.100
435.409991	119.236554	true	2019-02-07 13:02:04.110
435.565062	118.939181	true	2019-02-07 13:02:04.120
435.628897	118.602703	true	2019-02-07 13:02:04.132
435.458154	118.782685	true	2019-02-07 13:02:04.145
434.389933	119.281814	true	2019-02-07 13:02:04.153
433.381539	119.983962	true	2019-02-07 13:02:04.166
433.401163	120.008356	true	2019-02-07 13:02:04.177
433.972227	119.842246	true	2019-02-07 13:02:04.186
433.877061	120.038713	true	2019-02-07 13:02:04.199
433.892806	119.822146	true	2019-02-07 13:02:04.210
434.418894	117.809667	true	2019-02-07 13:02:04.220
434.261215	117.831992	true	2019-02-07 13:02:04.232
434.626714	117.730847	true	2019-02-07 13:02:04.242
394.150676	118.132525	true	2019-02-07 13:02:04.252
370.229896	117.354218	false	2019-02-07 13:02:04.265
201.729391	106.359416	false	2019-02-07 13:02:04.276
193.647785	105.835002	true	2019-02-07 13:02:04.285
186.15994	105.397596	true	2019-02-07 13:02:04.299
178.555597	104.98537	true	2019-02-07 13:02:04.308
169.777044	104.480341	true	2019-02-07 13:02:04.319
168.32338	103.806465	true	2019-02-07 13:02:04.332
170.151748	102.804393	true	2019-02-07 13:02:04.342
167.739903	102.039107	true	2019-02-07 13:02:04.353
167.722974	102.025997	true	2019-02-07 13:02:04.364
143.637614	97.599133	false	2019-02-07 13:02:04.375
145.657521	97.681187	true	2019-02-07 13:02:04.386
29.652131	-13.150534	false	2019-02-07 13:02:04.398
23.142438	-19.325264	true	2019-02-07 13:02:04.409
40.742689	-1.81413	true	2019-02-07 13:02:04.419
85.455458	70.377561	false	2019-02-07 13:02:04.432
85.517299	71.808852	true	2019-02-07 13:02:04.442
85.159131	72.727385	true	2019-02-07 13:02:04.452
108.313208	92.808327	true	2019-02-07 13:02:04.465
110.139302	94.426198	true	2019-02-07 13:02:04.476
112.366208	93.681943	true	2019-02-07 13:02:04.492
123.142175	105.179648	false	2019-02-07 13:02:04.499
127.1208	108.293418	true	2019-02-07 13:02:04.509
131.674072	108.616869	true	2019-02-07 13:02:04.519
131.572901	108.633342	true	2019-02-07 13:02:04.533
69.322176	80.864056	false	2019-02-07 13:02:04.544
68.372238	80.448529	true	2019-02-07 13:02:04.559
80.535752	86.599925	true	2019-02-07 13:02:04.566
67.227606	84.428819	true	2019-02-07 13:02:04.576
65.838293	84.078825	true	2019-02-07 13:02:04.586
63.966923	84.948989	true	2019-02-07 13:02:04.600
63.1414	84.015963	true	2019-02-07 13:02:04.609
62.458087	83.688611	true	2019-02-07 13:02:04.618
62.057872	82.114467	true	2019-02-07 13:02:04.632
61.404282	81.481549	true	2019-02-07 13:02:04.643
61.808513	81.826661	true	2019-02-07 13:02:04.651
64.543646	84.003907	true	2019-02-07 13:02:04.665
66.387656	84.25299	true	2019-02-07 13:02:04.675
66.531647	84.260973	true	2019-02-07 13:02:04.685
67.026465	84.287154	true	2019-02-07 13:02:04.698
66.870398	84.248433	true	2019-02-07 13:02:04.709
66.571078	84.161649	true	2019-02-07 13:02:04.718
65.286387	83.52138	true	2019-02-07 13:02:04.732
63.822692	83.014769	true	2019-02-07 13:02:04.742
63.263121	81.58336	true	2019-02-07 13:02:04.753
63.466651	72.603193	true	2019-02-07 13:02:04.765
63.280614	72.532208	true	2019-02-07 13:02:04.775
63.260993	72.558176	true	2019-02-07 13:02:04.785
63.545559	74.167596	true	2019-02-07 13:02:04.799
63.848945	73.519175	true	2019-02-07 13:02:04.809
63.986981	74.203655	true	2019-02-07 13:02:04.819
64.165348	78.167432	true	2019-02-07 13:02:04.833
63.626506	83.312545	true	2019-02-07 13:02:04.842
